source_csv,WarningCode,a_id,a_commit,a_date,a_message,a_file,a_suppressed_annotation,a_line_no,a_annotation_type,a_diffs,a_pre_commit,a_post_commit,Category,Category explanation,d_id,d_commit,d_date,d_message,d_file,d_suppressed_annotation,d_line_no,d_annotation_type,d_diffs,d_pre_commit,d_post_commit
spliceengine.csv,EI_EXPOSE_REP2,sp_a_115,b972be087912ba2d508316242eec42af0f6e8da5,2016-02-22 15:27:44,More Findbugs fixes,splice_machine/src/main/java/com/splicemachine/derby/stream/output/update/UpdateTableWriterBuilder.java,"@SuppressFBWarnings(value=""EI_EXPOSE_REP2"", justification=""Intentional"")",152,,"          this.formatIds = formatIds;
 @@ -146,12 +149,14 @@ public abstract class UpdateTableWriterBuilder implements Externalizable,UpdateD
      }
  
      @Override
+    @SuppressFBWarnings(value=""EI_EXPOSE_REP2"", justification=""Intentional"")
      public UpdateDataSetWriterBuilder columnOrdering(int[] columnOrdering) {
          this.columnOrdering = columnOrdering;
          return this;
      }","    public UpdateDataSetWriterBuilder columnOrdering(int[] columnOrdering) {
        this.columnOrdering = columnOrdering;
        return this;
    }","    @SuppressFBWarnings(value=""EI_EXPOSE_REP2"", justification=""Intentional"")
    public UpdateDataSetWriterBuilder columnOrdering(int[] columnOrdering) {
        this.columnOrdering = columnOrdering;
        return this;
    }",Unactionable,Intentional,,,,,,,,,,,
spliceengine.csv,EI_EXPOSE_REP2,sp_a_116,b972be087912ba2d508316242eec42af0f6e8da5,2016-02-22 15:27:44,More Findbugs fixes,splice_machine/src/main/java/com/splicemachine/derby/stream/output/update/UpdateTableWriterBuilder.java,"@SuppressFBWarnings(value=""EI_EXPOSE_REP2"", justification=""Intentional"")",159,,"          this.columnOrdering = columnOrdering;
          return this;
      }
  
      @Override
+    @SuppressFBWarnings(value=""EI_EXPOSE_REP2"", justification=""Intentional"")
      public UpdateDataSetWriterBuilder pkCols(int[] pkCols) {
          this.pkCols = pkCols;
          return this;","    public UpdateDataSetWriterBuilder pkCols(int[] pkCols) {
        this.pkCols = pkCols;
        return this;
    }","    @SuppressFBWarnings(value=""EI_EXPOSE_REP2"", justification=""Intentional"")
    public UpdateDataSetWriterBuilder pkCols(int[] pkCols) {
        this.pkCols = pkCols;
        return this;
    }",Unactionable,Intentional,,,,,,,,,,,
spliceengine.csv,EI_EXPOSE_REP2,sp_a_117,b972be087912ba2d508316242eec42af0f6e8da5,2016-02-22 15:27:44,More Findbugs fixes,splice_machine/src/main/java/com/splicemachine/derby/stream/stats/StatisticsCollector.java,"@SuppressFBWarnings(value=""EI_EXPOSE_REP2"", justification=""Intentional"")",52,,"  import java.util.ArrayList;
 @@ -48,6 +49,7 @@ public class StatisticsCollector {
      private ColumnStatsCollector<DataValueDescriptor>[] dvdCollectors;
      private int[] fieldLengths;
  
+    @SuppressFBWarnings(value=""EI_EXPOSE_REP2"", justification=""Intentional"")
      public StatisticsCollector(TxnView txn,
                                 ExecRow template,
                                 int[] columnPositionMap,","    public StatisticsCollector(TxnView txn,
                               ExecRow template,
                               int[] columnPositionMap,
                               int[] lengths,
                               SITableScanner scanner) {
        this.txn = txn;
        this.template = template;
        this.columnPositionMap = columnPositionMap;
        this.lengths = lengths;
        this.scanner = scanner;
        DataScanner regionScanner = scanner.getRegionScanner();
        Partition region = regionScanner.getPartition();
        String conglomId = region.getTableName();
        regionId = region.getName();
        tableConglomerateId = Long.parseLong(conglomId);
        dvdCollectors = getCollectors();
        fieldLengths = new int[dvdCollectors.length];
    }","    @SuppressFBWarnings(value=""EI_EXPOSE_REP2"", justification=""Intentional"")
    public StatisticsCollector(TxnView txn,
                               ExecRow template,
                               int[] columnPositionMap,
                               int[] lengths,
                               SITableScanner scanner) {
        this.txn = txn;
        this.template = template;
        this.columnPositionMap = columnPositionMap;
        this.lengths = lengths;
        this.scanner = scanner;
        DataScanner regionScanner = scanner.getRegionScanner();
        Partition region = regionScanner.getPartition();
        String conglomId = region.getTableName();
        regionId = region.getName();
        tableConglomerateId = Long.parseLong(conglomId);
        dvdCollectors = getCollectors();
        fieldLengths = new int[dvdCollectors.length];
    }",Unactionable,Intentional,,,,,,,,,,,
spliceengine.csv,EI_EXPOSE_REP2,sp_a_118,b972be087912ba2d508316242eec42af0f6e8da5,2016-02-22 15:27:44,More Findbugs fixes,splice_machine/src/main/java/com/splicemachine/derby/stream/stats/StatisticsScanner.java,"@SuppressFBWarnings(value=""EI_EXPOSE_REP2"", justification=""Intentional"")",33,,"  import java.util.ArrayList;
 @@ -29,6 +30,7 @@ public class StatisticsScanner<Data> extends SITableScanner<Data>{
      private StatisticsCollector collector;
      SimpleOverheadManagedPartitionStatistics statistics;
  
+    @SuppressFBWarnings(value=""EI_EXPOSE_REP2"", justification=""Intentional"")
      public StatisticsScanner(long conglomId,
                               DataScanner scanner,
                               final TransactionalRegion region,","    public StatisticsScanner(long conglomId,
                             DataScanner scanner,
                             final TransactionalRegion region,
                             final ExecRow template,
                             DataScan scan,
                             final int[] rowDecodingMap,
                             final TxnView txn,
                             int[] keyColumnEncodingOrder,
                             boolean[] keyColumnSortOrder,
                             int[] keyColumnTypes,
                             int[] keyDecodingMap,
                             FormatableBitSet accessedPks,
                             boolean reuseRowLocation,
                             String indexName,
                             final String tableVersion,
                             SIFilterFactory filterFactory,
                             int[] fieldLengths,
                             int[] columnPositionMap){
        super(scanner,region,template,scan,rowDecodingMap,txn,keyColumnEncodingOrder,
                keyColumnSortOrder,keyColumnTypes,keyDecodingMap,accessedPks,reuseRowLocation,indexName,
                tableVersion,filterFactory);
        this.columnPositionMap=columnPositionMap;
        this.conglomId = conglomId;
//        MeasuredRegionScanner regionScanner = getRegionScanner();
//        HRegionInfo r = regionScanner.getRegionInfo();
//        conglomId = r.getTable().getQualifierAsString();
        regionId = region.getRegionName();
        collector=new StatisticsCollector(txn,template,columnPositionMap,fieldLengths,this);
    }","    @SuppressFBWarnings(value=""EI_EXPOSE_REP2"", justification=""Intentional"")
    public StatisticsScanner(long conglomId,
                             DataScanner scanner,
                             final TransactionalRegion region,
                             final ExecRow template,
                             DataScan scan,
                             final int[] rowDecodingMap,
                             final TxnView txn,
                             int[] keyColumnEncodingOrder,
                             boolean[] keyColumnSortOrder,
                             int[] keyColumnTypes,
                             int[] keyDecodingMap,
                             FormatableBitSet accessedPks,
                             boolean reuseRowLocation,
                             String indexName,
                             final String tableVersion,
                             SIFilterFactory filterFactory,
                             int[] fieldLengths,
                             int[] columnPositionMap){
        super(scanner,region,template,scan,rowDecodingMap,txn,keyColumnEncodingOrder,
                keyColumnSortOrder,keyColumnTypes,keyDecodingMap,accessedPks,reuseRowLocation,indexName,
                tableVersion,filterFactory);
        this.columnPositionMap=columnPositionMap;
        this.conglomId = conglomId;
//        MeasuredRegionScanner regionScanner = getRegionScanner();
//        HRegionInfo r = regionScanner.getRegionInfo();
//        conglomId = r.getTable().getQualifierAsString();
        regionId = region.getRegionName();
        collector=new StatisticsCollector(txn,template,columnPositionMap,fieldLengths,this);
    }",Unactionable,Intentional,,,,,,,,,,,
spliceengine.csv,EI_EXPOSE_REP2,sp_a_119,b972be087912ba2d508316242eec42af0f6e8da5,2016-02-22 15:27:44,More Findbugs fixes,splice_machine/src/main/java/com/splicemachine/derby/stream/window/BaseFrameBuffer.java,"@SuppressFBWarnings(value=""EI_EXPOSE_REP2"", justification=""Intentional"")",37,,"  import java.util.Iterator;
 @@ -32,6 +34,7 @@ abstract public class BaseFrameBuffer implements WindowFrameBuffer{
      protected int[] sortColumns;
      private boolean initialized;
  
+    @SuppressFBWarnings(value=""EI_EXPOSE_REP2"", justification=""Intentional"")
      public static WindowFrameBuffer createFrameBuffer(
                                                        WindowAggregator[] aggregators,
                                                        Iterator<ExecRow> source,
 @@ -51,6 +54,7 @@ abstract public class BaseFrameBuffer implements WindowFrameBuffer{","    public static WindowFrameBuffer createFrameBuffer(
                                                      WindowAggregator[] aggregators,
                                                      Iterator<ExecRow> source,
                                                      FrameDefinition frameDefinition,
                                                      int[] sortColumns,
                                                      ExecRow templateRow) throws StandardException {

        FrameDefinition.FrameMode frameMode = frameDefinition.getFrameMode();
        PeekingIterator<ExecRow> peekingSource = Iterators.peekingIterator(source);
        if (frameMode == FrameDefinition.FrameMode.ROWS) {
            return new PhysicalGroupFrameBuffer(
                    aggregators, peekingSource, frameDefinition, sortColumns, templateRow);
        }
        else {
            return new LogicalGroupFrameBuffer(
                    aggregators, peekingSource, frameDefinition, sortColumns, templateRow);
        }
    }","    @SuppressFBWarnings(value=""EI_EXPOSE_REP2"", justification=""Intentional"")
    public static WindowFrameBuffer createFrameBuffer(
                                                      WindowAggregator[] aggregators,
                                                      Iterator<ExecRow> source,
                                                      FrameDefinition frameDefinition,
                                                      int[] sortColumns,
                                                      ExecRow templateRow) throws StandardException {

        FrameDefinition.FrameMode frameMode = frameDefinition.getFrameMode();
        PeekingIterator<ExecRow> peekingSource = Iterators.peekingIterator(source);
        if (frameMode == FrameDefinition.FrameMode.ROWS) {
            return new PhysicalGroupFrameBuffer(
                    aggregators, peekingSource, frameDefinition, sortColumns, templateRow);
        }
        else {
            return new LogicalGroupFrameBuffer(
                    aggregators, peekingSource, frameDefinition, sortColumns, templateRow);
        }
    }",Unactionable,Intentional,,,,,,,,,,,
spliceengine.csv,EI_EXPOSE_REP2,sp_a_120,b972be087912ba2d508316242eec42af0f6e8da5,2016-02-22 15:27:44,More Findbugs fixes,splice_machine/src/main/java/com/splicemachine/derby/stream/window/BaseFrameBuffer.java,"@SuppressFBWarnings(value=""EI_EXPOSE_REP2"", justification=""Intentional"")",57,,"                                                        Iterator<ExecRow> source,
 @@ -51,6 +54,7 @@ abstract public class BaseFrameBuffer implements WindowFrameBuffer{
          }
      }
  
+    @SuppressFBWarnings(value=""EI_EXPOSE_REP2"", justification=""Intentional"")
      public BaseFrameBuffer (WindowAggregator[] aggregators,
                              PeekingIterator<ExecRow> source,
                              FrameDefinition frameDefinition,","    public BaseFrameBuffer (WindowAggregator[] aggregators,
                            PeekingIterator<ExecRow> source,
                            FrameDefinition frameDefinition,
                            int[] sortColumns,
                            ExecRow templateRow) throws StandardException {
        this.aggregators = aggregators;
        this.source = source;
        this.sortColumns = sortColumns;
        this.templateRow = templateRow;

        for (WindowAggregator aggregator: this.aggregators) {
            aggregator.initialize(this.templateRow);
        }
        // All aggregators in this frame buffer share the same over() clause
        // so should all have the same frame definition.
        // The frame definition will not change over the life of this frame buffer
        this.frameStart = frameDefinition.getFrameStart().getValue();
        this.frameEnd = frameDefinition.getFrameEnd().getValue();
        this.rows = new ArrayList<ExecRow>();
        this.resultBuffer = new ResultBuffer();
    }","    @SuppressFBWarnings(value=""EI_EXPOSE_REP2"", justification=""Intentional"")
    public BaseFrameBuffer (WindowAggregator[] aggregators,
                            PeekingIterator<ExecRow> source,
                            FrameDefinition frameDefinition,
                            int[] sortColumns,
                            ExecRow templateRow) throws StandardException {
        this.aggregators = aggregators;
        this.source = source;
        this.sortColumns = sortColumns;
        this.templateRow = templateRow;

        for (WindowAggregator aggregator: this.aggregators) {
            aggregator.initialize(this.templateRow);
        }
        // All aggregators in this frame buffer share the same over() clause
        // so should all have the same frame definition.
        // The frame definition will not change over the life of this frame buffer
        this.frameStart = frameDefinition.getFrameStart().getValue();
        this.frameEnd = frameDefinition.getFrameEnd().getValue();
        this.rows = new ArrayList<ExecRow>();
        this.resultBuffer = new ResultBuffer();
    }",Unactionable,Intentional,,,,,,,,,,,
spliceengine.csv,EI_EXPOSE_REP2,sp_a_121,b972be087912ba2d508316242eec42af0f6e8da5,2016-02-22 15:27:44,More Findbugs fixes,splice_machine/src/main/java/com/splicemachine/derby/utils/JoinSideExecRow.java,"@SuppressFBWarnings(value=""EI_EXPOSE_REP2"", justification=""Intentional"")",19,,"  	protected ExecRow row;
 @@ -15,12 +16,14 @@ public class JoinSideExecRow {
          this.joinSide = joinSide;
      }
  
+	@SuppressFBWarnings(value=""EI_EXPOSE_REP2"", justification=""Intentional"")
  	public JoinSideExecRow (ExecRow row,JoinSide joinSide, byte[] hash) {
  		this.row = row;
  		this.joinSide = joinSide;
  		this.hash = hash;","	public JoinSideExecRow (ExecRow row,JoinSide joinSide, byte[] hash) {
		this.row = row;
		this.joinSide = joinSide;
		this.hash = hash;
	}","	@SuppressFBWarnings(value=""EI_EXPOSE_REP2"", justification=""Intentional"")
	public JoinSideExecRow (ExecRow row,JoinSide joinSide, byte[] hash) {
		this.row = row;
		this.joinSide = joinSide;
		this.hash = hash;
	}",Unactionable,Intentional,,,,,,,,,,,
spliceengine.csv,EI_EXPOSE_REP2,sp_a_122,b972be087912ba2d508316242eec42af0f6e8da5,2016-02-22 15:27:44,More Findbugs fixes,splice_machine/src/main/java/com/splicemachine/derby/utils/JoinSideExecRow.java,"@SuppressFBWarnings(value=""EI_EXPOSE_REP2"", justification=""Intentional"")",26,,"  		this.row = row;
  		this.joinSide = joinSide;
  		this.hash = hash;
  	}
  
+	@SuppressFBWarnings(value=""EI_EXPOSE_REP2"", justification=""Intentional"")
      public JoinSideExecRow (ExecRow row,JoinSide joinSide, byte[] hash,byte[] rowKey) {
          this.row = row;
          this.joinSide = joinSide;
 @@ -43,10 +46,12 @@ public class JoinSideExecRow {","    public JoinSideExecRow (ExecRow row,JoinSide joinSide, byte[] hash,byte[] rowKey) {
        this.row = row;
        this.joinSide = joinSide;
        this.hash = hash;
        this.rowKey = rowKey;
    }","	@SuppressFBWarnings(value=""EI_EXPOSE_REP2"", justification=""Intentional"")
    public JoinSideExecRow (ExecRow row,JoinSide joinSide, byte[] hash,byte[] rowKey) {
        this.row = row;
        this.joinSide = joinSide;
        this.hash = hash;
        this.rowKey = rowKey;
    }",Unactionable,Intentional,,,,,,,,,,,
spliceengine.csv,EI_EXPOSE_REP2,sp_a_123,b972be087912ba2d508316242eec42af0f6e8da5,2016-02-22 15:27:44,More Findbugs fixes,splice_machine/src/main/java/com/splicemachine/derby/utils/JoinSideExecRow.java,"@SuppressFBWarnings(value=""EI_EXPOSE_REP2"", justification=""Intentional"")",49,,"          this.joinSide = joinSide;
 @@ -43,10 +46,12 @@ public class JoinSideExecRow {
          return joinSide.ordinal() == JoinSide.RIGHT.ordinal();
      }
  
+	@SuppressFBWarnings(value=""EI_EXPOSE_REP2"", justification=""Intentional"")
  	public byte[] getHash() {
  		return hash;
  	}
  ","	public byte[] getHash() {
		return hash;
	}","	@SuppressFBWarnings(value=""EI_EXPOSE_REP2"", justification=""Intentional"")
	public byte[] getHash() {
		return hash;
	}",Unactionable,Intentional,sp_d_6,3dfa3845b8b4b97e1dc653a292a987d29fa5abfa,2016-03-08 8:21:54,fixing FindBugs errors,splice_machine/src/main/java/com/splicemachine/derby/utils/JoinSideExecRow.java,"@SuppressFBWarnings(value=""EI_EXPOSE_REP2"", justification=""Intentional"")",49,Deleted,"-
-    public boolean isRightSide(){
-        return joinSide.ordinal() == JoinSide.RIGHT.ordinal();
-    }
  
-	@SuppressFBWarnings(value=""EI_EXPOSE_REP2"", justification=""Intentional"")
+	@SuppressFBWarnings(value=""EI_EXPOSE_REP"", justification=""Intentional"")
  	public byte[] getHash() {
  		return hash;
  	}","	@SuppressFBWarnings(value=""EI_EXPOSE_REP2"", justification=""Intentional"")
	public byte[] getHash() {
		return hash;
	}","    public void setHash(byte[] hash) {
        this.hash = hash;
    }"
spliceengine.csv,EI_EXPOSE_REP2,sp_a_124,b972be087912ba2d508316242eec42af0f6e8da5,2016-02-22 15:27:44,More Findbugs fixes,splice_machine/src/main/java/com/splicemachine/derby/utils/JoinSideExecRow.java,"@SuppressFBWarnings(value=""EI_EXPOSE_REP2"", justification=""Intentional"")",54,,"+	@SuppressFBWarnings(value=""EI_EXPOSE_REP2"", justification=""Intentional"")
  	public byte[] getHash() {
  		return hash;
  	}
  
+	@SuppressFBWarnings(value=""EI_EXPOSE_REP2"", justification=""Intentional"")
      public void setHash(byte[] hash) {
          this.hash = hash;
      }","    public void setHash(byte[] hash) {
        this.hash = hash;
    }","	@SuppressFBWarnings(value=""EI_EXPOSE_REP2"", justification=""Intentional"")
    public void setHash(byte[] hash) {
        this.hash = hash;
    }",Unactionable,Intentional,sp_d_7,3dfa3845b8b4b97e1dc653a292a987d29fa5abfa,2016-03-08 8:21:54,fixing FindBugs errors,splice_machine/src/main/java/com/splicemachine/derby/utils/JoinSideExecRow.java,"@SuppressFBWarnings(value=""EI_EXPOSE_REP2"", justification=""Intentional"")",54,Deleted,"+	@SuppressFBWarnings(value=""EI_EXPOSE_REP"", justification=""Intentional"")
  	public byte[] getHash() {
  		return hash;
  	}
  
-	@SuppressFBWarnings(value=""EI_EXPOSE_REP2"", justification=""Intentional"")
+	@SuppressFBWarnings(value=""EI_EXPOSE_REP"", justification=""Intentional"")
      public void setHash(byte[] hash) {
          this.hash = hash;
      }","	@SuppressFBWarnings(value=""EI_EXPOSE_REP2"", justification=""Intentional"")
    public void setHash(byte[] hash) {
        this.hash = hash;
    }","	public void setRowKey(byte[] rowKey) {
        this.rowKey = rowKey;
    }"
spliceengine.csv,EI_EXPOSE_REP2,sp_a_125,b972be087912ba2d508316242eec42af0f6e8da5,2016-02-22 15:27:44,More Findbugs fixes,splice_machine/src/main/java/com/splicemachine/derby/utils/PredicateBuilder.java,"@SuppressFBWarnings(value=""EI_EXPOSE_REP2"", justification=""Intentional"")",29,,"  
 @@ -25,6 +26,7 @@ public class PredicateBuilder{
  
      private ObjectArrayList<Predicate> predicates=ObjectArrayList.newInstance();
  
+    @SuppressFBWarnings(value=""EI_EXPOSE_REP2"", justification=""Intentional"")
      public PredicateBuilder(int[] keyEncodingMap,
                              boolean[] keyColumnSortOrder,
                              int[] columnTypes,","    public PredicateBuilder(int[] keyEncodingMap,
                            boolean[] keyColumnSortOrder,
                            int[] columnTypes,
                            String tableVersion){
        this.keyColumnSortOrder=keyColumnSortOrder;
        this.keyEncodingMap=keyEncodingMap;
        this.columnTypes=columnTypes;
        this.tableVersion=tableVersion;
    }","    @SuppressFBWarnings(value=""EI_EXPOSE_REP2"", justification=""Intentional"")
    public PredicateBuilder(int[] keyEncodingMap,
                            boolean[] keyColumnSortOrder,
                            int[] columnTypes,
                            String tableVersion){
        this.keyColumnSortOrder=keyColumnSortOrder;
        this.keyEncodingMap=keyEncodingMap;
        this.columnTypes=columnTypes;
        this.tableVersion=tableVersion;
    }",Unactionable,Intentional,,,,,,,,,,,
spliceengine.csv,EI_EXPOSE_REP2,sp_a_126,b972be087912ba2d508316242eec42af0f6e8da5,2016-02-22 15:27:44,More Findbugs fixes,splice_machine/src/main/java/com/splicemachine/derby/utils/marshall/FixedDataHash.java,"@SuppressFBWarnings(value=""EI_EXPOSE_REP2"", justification=""Intentional"")",15,,"+    private final byte[] bytes;
  
-		public FixedDataHash(byte[] bytes) {
-				this.bytes = bytes;
-		}
+    @SuppressFBWarnings(value=""EI_EXPOSE_REP2"", justification=""Intentional"")
+    public FixedDataHash(byte[] bytes){
+        this.bytes=bytes;
+    }
  ","		public FixedDataHash(byte[] bytes) {
				this.bytes = bytes;
		}","    @SuppressFBWarnings(value=""EI_EXPOSE_REP2"", justification=""Intentional"")
    public FixedDataHash(byte[] bytes){
        this.bytes=bytes;
    }",Unactionable,Intentional,,,,,,,,,,,
spliceengine.csv,EI_EXPOSE_REP2,sp_a_127,b972be087912ba2d508316242eec42af0f6e8da5,2016-02-22 15:27:44,More Findbugs fixes,splice_machine/src/main/java/com/splicemachine/derby/utils/marshall/FixedPrefix.java,"@SuppressFBWarnings(value=""EI_EXPOSE_REP2"", justification=""Intentional"")",17,,"+    private final byte[] prefix;
  
-		public FixedPrefix(byte[] prefix) {
-				this.prefix = prefix;
-		}
+    @SuppressFBWarnings(value=""EI_EXPOSE_REP2"", justification=""Intentional"")
+    public FixedPrefix(byte[] prefix){
+        this.prefix=prefix;
+    }
  ","		public FixedPrefix(byte[] prefix) {
				this.prefix = prefix;
		}","    @SuppressFBWarnings(value=""EI_EXPOSE_REP2"", justification=""Intentional"")
    public FixedPrefix(byte[] prefix){
        this.prefix=prefix;
    }",Unactionable,Intentional,,,,,,,,,,,
spliceengine.csv,EI_EXPOSE_REP2,sp_a_128,b972be087912ba2d508316242eec42af0f6e8da5,2016-02-22 15:27:44,More Findbugs fixes,splice_machine/src/main/java/com/splicemachine/derby/utils/marshall/GeneratedBytesSupplier.java,"@SuppressFBWarnings(value=""EI_EXPOSE_REP2"", justification=""Intentional"")",16,,"-		public GeneratedBytesSupplier(byte[] baseBytes, int offset, StandardSupplier<byte[]> changingBytesSupplier) {
-				this.baseBytes = baseBytes;
-				this.offset = offset;
-				this.changingBytesSupplier = changingBytesSupplier;
-		}
+    @SuppressFBWarnings(value=""EI_EXPOSE_REP2"", justification=""Intentional"")
+    public GeneratedBytesSupplier(byte[] baseBytes,int offset,StandardSupplier<byte[]> changingBytesSupplier){
+        this.baseBytes=baseBytes;
+        this.offset=offset;
+        this.changingBytesSupplier=changingBytesSupplier;","		public GeneratedBytesSupplier(byte[] baseBytes, int offset, StandardSupplier<byte[]> changingBytesSupplier) {
				this.baseBytes = baseBytes;
				this.offset = offset;
				this.changingBytesSupplier = changingBytesSupplier;
		}","    @SuppressFBWarnings(value=""EI_EXPOSE_REP2"", justification=""Intentional"")
    public GeneratedBytesSupplier(byte[] baseBytes,int offset,StandardSupplier<byte[]> changingBytesSupplier){
        this.baseBytes=baseBytes;
        this.offset=offset;
        this.changingBytesSupplier=changingBytesSupplier;
    }",Unactionable,Intentional,,,,,,,,,,,
spliceengine.csv,EI_EXPOSE_REP2,sp_a_129,b972be087912ba2d508316242eec42af0f6e8da5,2016-02-22 15:27:44,More Findbugs fixes,splice_machine/src/main/java/com/splicemachine/derby/utils/marshall/SkippingKeyDecoder.java,"@SuppressFBWarnings(value = ""EI_EXPOSE_REP2"",justification = ""Intentional"")",69,,"  
 @@ -65,6 +66,7 @@ public class SkippingKeyDecoder implements KeyHashDecoder{
      }
  
      @Override
+    @SuppressFBWarnings(value = ""EI_EXPOSE_REP2"",justification = ""Intentional"")
      public void set(byte[] bytes,int hashOffset,int length){
          this.bytes=bytes;
          this.offset=hashOffset;","    public void set(byte[] bytes,int hashOffset,int length){
        this.bytes=bytes;
        this.offset=hashOffset;
        this.length=length;

    }","    @SuppressFBWarnings(value = ""EI_EXPOSE_REP2"",justification = ""Intentional"")
    public void set(byte[] bytes,int hashOffset,int length){
        this.bytes=bytes;
        this.offset=hashOffset;
        this.length=length;

    }",Unactionable,Intentional,,,,,,,,,,,
spliceengine.csv,EI_EXPOSE_REP2,sp_a_130,b972be087912ba2d508316242eec42af0f6e8da5,2016-02-22 15:27:44,More Findbugs fixes,splice_machine/src/main/java/com/splicemachine/derby/utils/marshall/UniquePostfix.java,"@SuppressFBWarnings(value=""EI_EXPOSE_REP2"", justification=""Intentional"")",25,,"+
+    public UniquePostfix(byte[] baseBytes){
+        this(baseBytes,EngineDriver.driver().newUUIDGenerator(100));
+    }
+
+    @SuppressFBWarnings(value=""EI_EXPOSE_REP2"", justification=""Intentional"")
+    public UniquePostfix(byte[] baseBytes,UUIDGenerator generator){
+        this.generator=generator;
+        this.baseBytes=baseBytes;
+    }","		public UniquePostfix(byte[] baseBytes, UUIDGenerator generator) {
				this.generator = generator;
				this.baseBytes = baseBytes;
		}","    @SuppressFBWarnings(value=""EI_EXPOSE_REP2"", justification=""Intentional"")
    public UniquePostfix(byte[] baseBytes,UUIDGenerator generator){
        this.generator=generator;
        this.baseBytes=baseBytes;
    }",Unactionable,Intentional,,,,,,,,,,,
spliceengine.csv,EI_EXPOSE_REP2,sp_a_131,b972be087912ba2d508316242eec42af0f6e8da5,2016-02-22 15:27:44,More Findbugs fixes,splice_machine/src/main/java/com/splicemachine/derby/vti/SpliceFileVTI.java,"@SuppressFBWarnings(value=""EI_EXPOSE_REP2"", justification=""Intentional"")",61,,"  import java.sql.ResultSetMetaData;
 @@ -56,6 +58,7 @@ public class SpliceFileVTI implements DatasetProvider, VTICosting {
      }
  
  
+    @SuppressFBWarnings(value=""EI_EXPOSE_REP2"", justification=""Intentional"")
      public SpliceFileVTI(String fileName,String characterDelimiter, String columnDelimiter, int[] columnIndex) {
          this(fileName, characterDelimiter, columnDelimiter);
          this.columnIndex = columnIndex;","    public SpliceFileVTI(String fileName,String characterDelimiter, String columnDelimiter, int[] columnIndex) {
        this(fileName, characterDelimiter, columnDelimiter);
        this.columnIndex = columnIndex;
    }","    @SuppressFBWarnings(value=""EI_EXPOSE_REP2"", justification=""Intentional"")
    public SpliceFileVTI(String fileName,String characterDelimiter, String columnDelimiter, int[] columnIndex) {
        this(fileName, characterDelimiter, columnDelimiter);
        this.columnIndex = columnIndex;
    }",Unactionable,Intentional,,,,,,,,,,,
spliceengine.csv,EI_EXPOSE_REP2,sp_a_132,b972be087912ba2d508316242eec42af0f6e8da5,2016-02-22 15:27:44,More Findbugs fixes,splice_machine/src/main/java/com/splicemachine/pipeline/altertable/AlterTableInterceptWriteHandler.java,"@SuppressFBWarnings(value=""EI_EXPOSE_REP2"", justification=""Intentional"")",31,,"  import com.splicemachine.pipeline.client.WriteCoordinator;
 @@ -27,6 +28,7 @@ public class AlterTableInterceptWriteHandler implements WriteHandler{
  
      private RecordingCallBuffer<KVPair> recordingCallBuffer;
  
+    @SuppressFBWarnings(value=""EI_EXPOSE_REP2"", justification=""Intentional"")
      public AlterTableInterceptWriteHandler(RowTransformer rowTransformer, byte[] newTableName) {
          this.writeCoordinator = PipelineDriver.driver().writeCoordinator();
          this.rowTransformer = rowTransformer;","    public AlterTableInterceptWriteHandler(RowTransformer rowTransformer, byte[] newTableName) {
        this.writeCoordinator = PipelineDriver.driver().writeCoordinator();
        this.rowTransformer = rowTransformer;
        this.newTableName = newTableName;
    }","    @SuppressFBWarnings(value=""EI_EXPOSE_REP2"", justification=""Intentional"")
    public AlterTableInterceptWriteHandler(RowTransformer rowTransformer, byte[] newTableName) {
        this.writeCoordinator = PipelineDriver.driver().writeCoordinator();
        this.rowTransformer = rowTransformer;
        this.newTableName = newTableName;
    }",Unactionable,Intentional,,,,,,,,,,,
spliceengine.csv,EI_EXPOSE_REP2,sp_a_133,b972be087912ba2d508316242eec42af0f6e8da5,2016-02-22 15:27:44,More Findbugs fixes,splice_machine/src/main/java/com/splicemachine/pipeline/foreignkey/ForeignKeyParentCheckWriteHandler.java,"@SuppressFBWarnings(value=""EI_EXPOSE_REP2"", justification=""Intentional"")",33,,"  
 @@ -28,6 +30,7 @@ public class ForeignKeyParentCheckWriteHandler implements WriteHandler{
      private final MultiFieldDecoder multiFieldDecoder;
      private final TypeProvider typeProvider;
  
+    @SuppressFBWarnings(value=""EI_EXPOSE_REP2"", justification=""Intentional"")
      public ForeignKeyParentCheckWriteHandler(TransactionalRegion transactionalRegion, int[] formatIds, String parentTableVersion) {
          this.transactionalRegion = transactionalRegion;
          this.formatIds = formatIds;","    public ForeignKeyParentCheckWriteHandler(TransactionalRegion transactionalRegion, int[] formatIds, String parentTableVersion) {
        this.transactionalRegion = transactionalRegion;
        this.formatIds = formatIds;
        this.multiFieldDecoder = MultiFieldDecoder.create();
        this.typeProvider = VersionedSerializers.typesForVersion(parentTableVersion);
    }","    @SuppressFBWarnings(value=""EI_EXPOSE_REP2"", justification=""Intentional"")
    public ForeignKeyParentCheckWriteHandler(TransactionalRegion transactionalRegion, int[] formatIds, String parentTableVersion) {
        this.transactionalRegion = transactionalRegion;
        this.formatIds = formatIds;
        this.multiFieldDecoder = MultiFieldDecoder.create();
        this.typeProvider = VersionedSerializers.typesForVersion(parentTableVersion);
    }",Unactionable,Intentional,,,,,,,,,,,
